,Date/Time,Lat,Lon,Base
0,6/1/2014 00:00:00,40.7293,-73.992,B02512
1,6/1/2014 00:01:00,40.7131,-74.0097,B02512
2,6/1/2014 00:04:00,40.3461,-74.661,B02512
3,6/1/2014 00:04:00,40.7555,-73.9833,B02512
4,6/1/2014 00:07:00,40.688,-74.1831,B02512
5,6/1/2014 00:08:00,40.7152,-73.9917,B02512
6,6/1/2014 00:08:00,40.7282,-73.991,B02512
7,6/1/2014 00:08:00,40.3042,-73.9794,B02512
8,6/1/2014 00:09:00,40.727,-73.9915,B02512
9,6/1/2014 00:10:00,40.7221,-73.9965,B02512
10,6/1/2014 00:11:00,40.7153,-74.0146,B02512
11,6/1/2014 00:15:00,40.6176,-74.0197,B02512
12,6/1/2014 00:16:00,40.7025,-73.9897,B02512
13,6/1/2014 00:17:00,40.735,-74.165,B02512
14,6/1/2014 00:17:00,40.7357,-74.0068,B02512
15,6/1/2014 00:18:00,40.6904,-73.9572,B02512
16,6/1/2014 00:19:00,40.7384,-73.9857,B02512
17,6/1/2014 00:20:00,40.7406,-74.0066,B02512
18,6/1/2014 00:21:00,40.7535,-73.9813,B02512
19,6/1/2014 00:21:00,40.722,-73.9804,B02512
20,6/1/2014 00:23:00,40.8095,-74.1037,B02512
21,6/1/2014 00:23:00,40.7482,-73.9745,B02512
22,6/1/2014 00:30:00,40.7043,-73.933,B02512
23,6/1/2014 00:32:00,40.7298,-73.9898,B02512
24,6/1/2014 00:32:00,40.7397,-74.0053,B02512
25,6/1/2014 00:34:00,40.7607,-74.0025,B02512
26,6/1/2014 00:37:00,40.7578,-73.9703,B02512
27,6/1/2014 00:39:00,40.7349,-73.985,B02512
28,6/1/2014 00:39:00,40.7133,-73.9775,B02512
29,6/1/2014 00:40:00,40.7273,-73.9936,B02512
30,6/1/2014 00:40:00,40.760999999999996,-73.6035,B02512
31,6/1/2014 00:44:00,40.7401,-73.9901,B02512
32,6/1/2014 00:46:00,40.7261,-73.9835,B02512
33,6/1/2014 00:48:00,40.7406,-74.0086,B02512
34,6/1/2014 00:49:00,40.6975,-73.9373,B02512
35,6/1/2014 01:00:00,40.7431,-73.9848,B02512
36,6/1/2014 01:00:00,40.7395,-74.0021,B02512
37,6/1/2014 01:01:00,40.7816,-73.7183,B02512
38,6/1/2014 01:01:00,40.8192,-73.9019,B02512
39,6/1/2014 01:02:00,40.7335,-74.0037,B02512
40,6/1/2014 01:04:00,40.7404,-74.0083,B02512
41,6/1/2014 01:09:00,40.796,-74.4726,B02512
42,6/1/2014 01:14:00,40.7397,-74.0081,B02512
43,6/1/2014 01:15:00,40.7233,-73.9855,B02512
44,6/1/2014 01:18:00,40.7535,-73.9851,B02512
45,6/1/2014 01:25:00,40.7978,-74.4777,B02512
46,6/1/2014 01:32:00,40.299,-73.9811,B02512
47,6/1/2014 01:37:00,40.7343,-74.166,B02512
48,6/1/2014 01:38:00,40.7392,-73.9953,B02512
49,6/1/2014 01:40:00,41.0169,-73.7182,B02512
50,6/1/2014 01:41:00,40.7196,-73.9995,B02512
51,6/1/2014 02:03:00,40.7408,-74.0079,B02512
52,6/1/2014 02:04:00,40.7381,-74.0089,B02512
53,6/1/2014 02:05:00,40.742,-74.0077,B02512
54,6/1/2014 02:15:00,40.6736,-73.992,B02512
55,6/1/2014 02:19:00,40.7195,-73.9887,B02512
56,6/1/2014 02:21:00,40.7144,-73.9651,B02512
57,6/1/2014 02:26:00,40.7621,-73.9747,B02512
58,6/1/2014 02:27:00,40.74,-74.0055,B02512
59,6/1/2014 02:32:00,40.762,-73.9936,B02512
60,6/1/2014 02:40:00,40.7175,-74.0055,B02512
61,6/1/2014 02:41:00,40.7521,-73.9954,B02512
62,6/1/2014 02:47:00,40.7222,-73.9588,B02512
63,6/1/2014 03:10:00,40.7615,-73.975,B02512
64,6/1/2014 03:11:00,40.7278,-73.9991,B02512
65,6/1/2014 03:14:00,40.7503,-73.9839,B02512
66,6/1/2014 03:19:00,40.7389,-74.0081,B02512
67,6/1/2014 03:23:00,40.775,-73.9907,B02512
68,6/1/2014 03:32:00,40.7054,-74.0072,B02512
69,6/1/2014 03:35:00,40.7303,-74.0025,B02512
70,6/1/2014 03:36:00,40.7347,-73.9924,B02512
71,6/1/2014 04:03:00,40.7224,-73.9878,B02512
72,6/1/2014 05:07:00,40.7699,-73.9843,B02512
73,6/1/2014 05:10:00,40.7372,-73.9967,B02512
74,6/1/2014 05:14:00,40.6448,-73.7826,B02512
75,6/1/2014 05:48:00,40.7228,-74.0019,B02512
76,6/1/2014 06:19:00,40.736,-73.9792,B02512
77,6/1/2014 06:21:00,40.7536,-73.9915,B02512
78,6/1/2014 06:24:00,40.7615,-73.9881,B02512
79,6/1/2014 06:25:00,40.8525,-73.8281,B02512
80,6/1/2014 06:27:00,40.7554,-73.9738,B02512
81,6/1/2014 06:35:00,40.7543,-73.9817,B02512
82,6/1/2014 06:37:00,40.7751,-73.9633,B02512
83,6/1/2014 06:46:00,40.6952,-74.1784,B02512
